"Year","Plot","Treat.Code","Species","PC.F","PC.G","PC.s13","Subplot","germ.tot","germ.proj","tot.mort","viable","p.mort","p.germ","n.seed.ind","cov.g","Count","avg.num.per.sub","p.surv","L.sb","L.sa","L.seeds","L"
2016,5,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"No Grass",31,29,6,95,0.206896551724138,0.326315789473684,86.58647483472,NA,0,95,0,0,0.258802177858439,22.4087682603105,22.4087682603105
2016,5,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"Grass",52,29,8,95,0.275862068965517,0.547368421052632,26.8832933698334,30,0,95,0,0,0.396370235934664,10.6557373357016,10.6557373357016
2016,5,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"Grass",36,24,9,96,0.375,0.375,9.40303030627273,30,75,96,0.78125,0.48828125,0.234375,2.20383522803267,2.69211647803267
2016,5,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"No Grass",41,28,6,96,0.214285714285714,0.427083333333333,43.57733334836,NA,75,96,0.78125,0.447591145833333,0.335565476190476,14.6230486161535,15.0706397619869
2016,5,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"Grass",43,26,12,71,0.461538461538462,0.605633802816901,2.74961059333333,30,38,71,0.535211267605634,0.21106923229518,0.326110509209101,0.89667691071867,1.10774614301385
2016,5,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"No Grass",47,23,3,71,0.130434782608696,0.661971830985915,4.30373832,NA,38,71,0.535211267605634,0.18091648482444,0.575627679118187,2.47735090067361,2.65826738549805
2016,15,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"Grass",51,25,5,95,0.2,0.536842105263158,83.2268585272,25,NA,NA,NA,NA,0.429473684210526,35.7437455569448,NA
2016,15,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"No Grass",85,30,5,95,0.166666666666667,0.894736842105263,64.1381295072,NA,NA,NA,NA,NA,0.745614035087719,47.8222895448421,NA
2016,15,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"Grass",13,13,6,96,0.461538461538462,0.135416666666667,16.5714285771428,25,76,96,0.791666666666667,0.684461805555556,0.0729166666666667,1.20833333375,1.89279513930555
2016,15,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"No Grass",31,27,3,96,0.111111111111111,0.322916666666667,23.9326315872,NA,76,96,0.791666666666667,0.536024305555556,0.287037037037037,6.86955165928889,7.40557596484444
2016,15,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"Grass",60,24,13,71,0.541666666666667,0.845070422535211,43.0373832,25,25,71,0.352112676056338,0.0545526681214045,0.387323943661972,16.6694089859155,16.7239616540369
2016,15,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"No Grass",22,21,6,71,0.285714285714286,0.309859154929577,44.8736448832,NA,25,71,0.352112676056338,0.243007339813529,0.221327967806841,9.93179263008451,10.174799969898
2016,17,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"Grass",95,29,7,95,0.241379310344828,1,34.9051044937143,80,0,95,0,0,0.758620689655172,26.4797344435074,26.4797344435074
2016,17,"W","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"No Grass",68,26,9,95,0.346153846153846,0.715789473684211,95.6557420891109,NA,0,95,0,0,0.468016194331984,44.7684363785474,44.7684363785474
2016,17,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"No Grass",41,25,6,96,0.24,0.427083333333333,57.4200000198,NA,46,96,0.479166666666667,0.274522569444445,0.324583333333333,18.6375750064268,18.9120975758712
2016,17,"W","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"Grass",65,29,11,96,0.379310344827586,0.677083333333333,12.9694444489167,80,46,96,0.479166666666667,0.154730902777778,0.420258620689655,5.45052083521284,5.60525173799061
2016,17,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"Grass",22,21,11,71,0.523809523809524,0.309859154929577,2.008411216,80,30,71,0.422535211267606,0.291608807776235,0.147551978537894,0.296345048638498,0.587953856414733
2016,17,"W","Hemizonia congesta",1.3751567558586,1.45479168058665,1.98798512973834,"No Grass",29,25,11,71,0.44,0.408450704225352,4.54283489333333,NA,30,71,0.422535211267606,0.249950406665344,0.228732394366197,1.03909350236244,1.28904390902779
2016,18,"C","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"No Grass",74,25,7,95,0.28,0.778947368421053,69.7056754713666,NA,0,95,0,0,0.560842105263158,39.0938777801517,39.0938777801517
2016,18,"C","Agoseris heterophylla",-0.876427664975023,-0.715725194710067,-2.31764141783942,"Grass",95,25,7,95,0.28,1,48.676259001,40,0,95,0,0,0.72,35.04690648072,35.04690648072
2016,18,"C","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"No Grass",61,30,9,96,0.3,0.635416666666667,35.49600001224,NA,NA,NA,NA,NA,0.444791666666667,15.7883250054442,NA
2016,18,"C","Clarkia purpurea",0.605290877224273,0.563663236086071,1.08410568900997,"Grass",33,29,10,96,0.344827586206897,0.34375,28.7100000099,40,NA,NA,NA,NA,0.225215517241379,6.46593750222963,NA
